"","Outcome","Tract","BUTADIENE","ACETALDEHYDE","BENZENE","CARBON_TETRACHLORIDE","ETHYLBENZENE","FORMALDEHYDE","HEXANE","METHANOL","METHYL_CHLORIDE_CHLOROMETHANE","TOLUENE","XYLENES_MIXED_ISOMERS","DIESEL_PM","LEAD_COMPOUNDS","MANGANESE_COMPOUNDS","MERCURY_COMPOUNDS","NICKEL_COMPOUNDS","Cluster"
"1451",-1.39675282466426,37119005839,-3.31465663995394,0.522529904084763,-0.652204238602127,-0.633933880778335,-1.70804079132713,0.69059698537464,-1.59649657938799,0.806849104240554,0.105866276739126,0.256162204260688,-0.433453548026654,-0.551425465880585,-7.80504875435275,-4.89873294430265,-6.42853397892098,-8.58216429570441,5
"1452",-0.631847424122625,37119005840,-3.32575949716259,0.522309806715856,-0.66023505269394,-0.633925684593756,-1.71002060713345,0.689669085293014,-1.60407753794635,0.804383656400882,0.125781019675922,0.246596971314203,-0.438266627365558,-0.551720554973839,-7.83874549839779,-4.88945687218403,-6.44995385665411,-8.58674168098033,5
"1453",0.470819779709458,37119005841,-3.35921313616131,0.521122181210468,-0.699387650189408,-0.633913770924675,-1.74683382527848,0.686405620624592,-1.63752062694436,0.803385967579941,0.170612615574991,0.208561037910792,-0.475128860417481,-0.612468357097118,-7.88897258327602,-4.91630538580609,-6.4857233309388,-8.61220212669925,5
"1454",-0.528132638003042,37119005842,-3.41136884576048,0.517866079650367,-0.787434733771128,-0.633886896841375,-1.87107091604799,0.68026730968867,-1.72521492581176,0.808279127405983,0.132661585702135,0.126994427528374,-0.583486268782603,-0.832377721953619,-7.82966613671913,-5.1951044163867,-6.52624208995552,-8.78577448542451,5
"1455",-0.876062711256314,37119005843,-3.44220891414359,0.516778795324144,-0.818623704141865,-0.633873408801339,-1.89583610647726,0.677736738149394,-1.74995719427091,0.800717802133462,0.195991454871499,0.0980612541358292,-0.609177028252924,-0.877793025219401,-7.87322154664683,-5.13945716289615,-6.54750609604269,-8.77643176619535,5
"1456",-0.691868005103868,37119005844,-3.53473769192644,0.537630369208143,-0.830463784546569,-0.633305694867512,-1.96845839428317,0.670590077602381,-1.76537701829225,0.762789159997408,0.180672848420928,0.0329983398850231,-0.710859956209304,-0.901497944168497,-7.74682913670748,-4.97214026504569,-6.44464960023844,-8.63353077130983,5
"1457",0.152863720443769,37119005845,-3.40002986867076,0.519522571482385,-0.743656015831809,-0.63388700805183,-1.84695612124518,0.678746914534146,-1.65767769564092,0.76402917519625,0.153207217764002,0.144084884451662,-0.577169500048013,-0.753104858333011,-7.76592902229038,-5.17772927599967,-6.42338115266048,-8.51421563972628,5
"1458",0.875472466119878,37119005846,-3.44465830791437,0.518229710600366,-0.801775387376646,-0.633850507182756,-1.90068116349532,0.674598472437423,-1.68371315660008,0.742892369500392,0.202301872550971,0.0960867544921323,-0.631554315566965,-0.840335573783609,-7.78143995272436,-5.25449929223259,-6.47609644278972,-8.5225620670709,5
"1459",-0.560650431516456,37119005847,-3.36388300460575,0.521804092498287,-0.664272765953347,-0.633946048601097,-1.77405165180892,0.68084520798713,-1.56429627987829,0.695849028778584,0.134810355652521,0.184211481294371,-0.529048388229929,-0.576644735176055,-7.71398564058772,-5.10684150938675,-6.30660270985305,-8.34986685093343,5
"1460",0.542021511495653,37119005848,-3.37958924557249,0.521039572443184,-0.674181109667756,-0.63394973196502,-1.77877690703056,0.679841871863707,-1.56555415932401,0.684232929420777,0.0963751579682594,0.1743178460324,-0.536449551249646,-0.586147946534799,-7.71773937790861,-5.20540525389696,-6.31262946331963,-8.39014635006011,5
"1461",-0.958400289146486,37119005906,-3.09750997051213,0.51146845170783,-0.726392093594113,-0.635217094735423,-1.77527972896402,0.739548401379923,-1.64027762890111,0.591880789192697,0.155005582864927,0.202872409818391,-0.328071436972669,-0.704922132001287,-6.98725278430549,-4.60686929156578,-6.47694719635136,-8.21014851934861,1
"1462",0.329502947980932,37119005907,-3.30004944684682,0.518406115361074,-0.779673891411912,-0.634651671885399,-1.81884075559596,0.71501920312116,-1.66365819891826,0.608091578885248,0.21289085155217,0.217453601327686,-0.473095425862848,-0.780817579747918,-7.38736032990893,-4.77806309750393,-6.48368361263558,-7.68307161032741,5
"1463",0.0819259969098195,37119005908,-3.40995989862564,0.548007244767822,-0.800017880794903,-0.633952177809101,-1.82181835079202,0.69879039796408,-1.70281947860986,0.602038824218326,0.104835487854847,0.167475884093278,-0.516727621021014,-0.808069262649621,-7.55172954958155,-4.62610682306005,-6.41095348756726,-7.9991017678193,5
"1464",1.3255904081893,37119005909,-3.28614210268695,0.549157790066873,-0.728237769881482,-0.633800012269345,-1.76541289445583,0.719503083992907,-1.62861435215665,0.636759516086966,0.0644032619904651,0.29722712547316,-0.437684891466527,-0.687986044167121,-7.39849240618574,-4.56636654964156,-6.36359038067263,-7.54554959233199,5
"1465",-0.502069789924365,37119005910,-3.32732871365367,0.548812915433019,-0.733817404514602,-0.633754679186366,-1.76077435122173,0.714141820851753,-1.62263758659499,0.633657190118311,0.131060226807818,0.276339763117428,-0.439358549659836,-0.671693094143952,-7.52522505116935,-4.34443091847713,-6.41275283140984,-7.92659603354094,5
"1466",0.542756656715074,37119005911,-3.5103334551101,0.547377368832827,-0.868570701760643,-0.63396096819384,-1.90494613089929,0.687124229148033,-1.74456094762132,0.586256589377798,0.156252372580139,0.0995725279241537,-0.602278697392446,-0.90824618369348,-7.71423173492926,-4.33902046493606,-6.48160109012319,-8.24405549205976,5
"1467",-0.295637604493753,37119005912,-3.17357145832398,0.512834765827698,-0.654841263974713,-0.635067805490564,-1.68142734842498,0.731301804247511,-1.54253741951189,0.621757021803259,0.206654478687122,0.345204720542047,-0.350610232350197,-0.487980901213073,-7.27855951432186,-4.76017713867,-6.48514196913649,-8.2169058175233,5
"1468",1.63679953092288,37119005913,-3.19308462326485,0.558346350712255,-0.617495328704906,-0.633733694696185,-1.64933120723572,0.733480984718675,-1.52581504901925,0.672503809838037,0.00715958886757372,0.671146701535156,-0.335595424471359,-0.460724181602213,-7.30701940895703,-4.54293835444989,-6.29995082344076,-8.01396711973523,1
